NOME;NUM;LAT;LON;SEQ;GRUPO;SENTIDO;TIPO;ITINERARY_ID;CODE
Alameda Augusto Stelfeld. 1282 - Centro;110109;-25.431806641731;-49.284180135674;7;;Savóia;Novo mobiliário;1023;876
Rua Capitão Souza Franco. 53-145 - Batel;190177;-25.430157266985;-49.293192186508;12;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 1634 - Mercês;190181;-25.425384904876;-49.300397930059;15;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 2444 - Mercês;190188;-25.422895213435;-49.308693148479;18;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 3- Santa Felicidade;190936;-25.414493681911;-49.330800951666;27;;Savóia;Novo mobiliário;1023;876
R. Francisco Rocha. 1711 - Bigorrilho;190174;-25.430755003707;-49.295877667494;28;;Praça Tiradentes;Novo mobiliário;1024;876
R. Francisco Rocha. 1362 - Bigorrilho;180037;-25.433904877339;-49.29412046627;29;;Praça Tiradentes;Novo mobiliário;1024;876
Alameda Princesa Isabel. 1151 - São Francisco;180561;-25.432574881729;-49.289465428537;31;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Brasílio Cuman. 10 - São Braz;190255;-25.411484721818;-49.350269765801;5;;Praça Tiradentes;Chapéu chinês;1024;876
Av. Vereador Toaldo Túlio. 2984 - São Braz;190078;-25.416558909635;-49.349962652868;7;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 4263 - Santa Felicidade;190939;-25.420502821178;-49.323996187395;17;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Brasílio Cuman. 567- São Braz;190257;-25.409156481373;-49.355056167788;38;;Savóia;Sem demarcação;1023;876
Av. Cândido Hartmann. 3049 - Mercês;190191;-25.42278;-49.31435;20;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 3748 - Mercês;190025;-25.421858759926;-49.321576093254;18;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Saldanha Marinho. 917 - Centro;110194;-25.431908753005;-49.280559153503;35;;Praça Tiradentes;Chapéu chinês;1024;876
Rua Antônio Escorsin. 356 - Santa Felicidade;190931;-25.414236881484;-49.334560067601;13;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 4690 - Santa Felicidade;190937;-25.417182785607;-49.325570644087;16;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 1587 - Mercês;190905;-25.425555685654;-49.300407317791;25;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Antônio Escorsin. 1547 - Santa Felicidade;190942;-25.417203112134;-49.344808459282;9;;Praça Tiradentes;Novo mobiliário;1024;876
Alameda Julia da Costa. 1054 - São Francisco;180245;-25.431970146534;-49.290604026264;10;;Savóia;Chapéu chinês;1023;876
Av. Vereador Toaldo Túlio. 2445 - São Braz;190081;-25.412474334388;-49.350436062759;35;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 2128 - Mercês;190185;-25.42284313023;-49.305001953373;17;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 378 - Santa Felicidade;190932;-25.414274432524;-49.334153712935;28;;Savóia;Novo mobiliário;1023;876
Rua Cruz Machado. 301 - Centro;110016;-25.430894327324;-49.276454032606;37;;Praça Tiradentes;Chapéu chinês;1024;876
Rua Antônio Escorsin. 1185 - Santa Felicidade;190343;-25.415824916867;-49.342355908102;10;;Praça Tiradentes;Novo mobiliário;1024;876
Alameda Princesa Isabel. 1555 - São Francisco;180825;-25.433639468899;-49.292151660866;30;;Praça Tiradentes;Novo mobiliário;1024;876
