NOME,NUM,LAT,LON
Rua Doutor Eugênio Bertolli. 750 - Santa Felicidade,190465,-25.373239865011,-49.331741948059
Rua Antônio Zanon. 355 - Tatuquara,170513,-25.567370401067,-49.315093606711
R. Cap. Leônidas Marques. 2 - Jardim das Américas,140301,-25.467672265133,-49.221806600721
Rua José Hauer. 1178 - Boqueirão,140338,-25.503143631289,-49.226253294477
Rua Fernando Simas. 1119 - Mercês,190832,-25.426269574212,-49.291281284041
Rua Francisco Derosso. 686 - Xaxim,150076,-25.49678,-49.2695
R. Vicente de Carvalho. 621 - Cajuru,140234,-25.450823397422,-49.219904139881
Av. Nossa Sra. da Luz - Jardim Social,130931,-25.415311055655,-49.241387844086
Estrada Delegado Bruno de Almeida. 1923 - Caximba,170405,-25.62156601499,-49.348523318768
Rua João Elói de Souza. 100 - Sítio Cercado,150455,-25.526929374174,-49.265516954292
Rua Londrina. 963 - Pinheirinho,160041,-25.5408,-49.29182
Rua Lauro Mallin. 126 - Cascatinha,190557,-25.409991079058,-49.309041531033
Rua Maestro Carlos Frank. 3002 - Boqueirão,150122,-25.52434305698,-49.246039883432
Rodovia BR476. 5151 - Bairro Alto,130398,-25.412636711787,-49.221714169926
Rua Nossa Senhora do Rocio. 144 - Santa Candida,120438,-25.363866564728,-49.230138988441
Terminal Capão Raso - 621 - Fanny,104813,-25.492026002613,-49.293224544472
R. João Ferro. 114 - Santa Felicidade,190947,-25.396457913905,-49.33376044035
Rua Silvano Alves da Rocha Loures. 238 - Riviera,190374,-25.4361689829,-49.367109053622
Rua José Tomasi. 245 - Santa Felicidade,190037,-25.4193894364,-49.337259271164
Rua do Semeador. 216 - Cidade Industrial,180748,-25.469311762792,-49.349211354398
Rua Londrina. 964 - Pinheirinho,160042,-25.54067,-49.29191
Rua Trajano Reis. 296 - São Francisco,110133,-25.4242957772,-49.274190974187
Av. Prefeito Erasto Gaertner. 2625 - Bacacheri,130040,-25.39107457596,-49.224417930059
Rua Aírton Pizato Gusi. 476 - Xaxim,150433,-25.525403445149,-49.259345033668
R. Des. Cid. Campelo. 4728 - Cidade Industrial,180504,-25.508691092535,-49.336499024772
Rua Salomão Elias Feder. 628 - Uberaba,140799,-25.486791507022,-49.231768430418
Rua Raul Pompéia. 1530 - Cidade Industrial,180449,-25.48182675743,-49.344504357523
Rua Doutor Francisco Natel de Camargo. 144 - Santa Candida,120176,-25.372147820603,-49.243332519467
Av. Pres. Getúlio Vargas. 3047 - Água Verde,180535,-25.45146710446,-49.288747937626
Estrada Santa Cândida. 1357 - Tingui,120462,-25.364965132773,-49.214167842923
R. Santa Cecília. 636 - Pilarzinho,190231,-25.400343634391,-49.287993906746
Rua Desembargador Lauro Sodré Lopes. 487 - Portão,180689,-25.477344868838,-49.311455519146
Rua Ver. Garcia Rodrigues Velho. 451 - Cabral,120095,-25.403217268609,-49.251451953373
Rua dos Ferroviários. 1398 - Cajuru,140373,-25.448486947525,-49.201019789204
Rua Senador Salgado Filho. 4555 - Uberaba,140979,-25.482230853781,-49.224018045473
Rua Alcino Guanabara. 907 - Hauer,150202,-25.48184,-49.24937
R. Nilo Peçanha. 374 - Bom Retiro,110131,-25.417137631974,-49.274446530094
Acesso 11 - Ganchinho,160783,-25.56285057219,-49.25139516592
R. Helena Grodzki. 3665 - Umbara (Estrada do Ganchinho),160724,-25.564671613333,-49.264620126432
Praça Tiradentes - 876 - Savóia,101004,-25.430119444658,-49.272456604299
Rua Deputado Pinheiro Júnior. 1297 - Umbara,160061,-25.558334467543,-49.284040660805
Praça Rui Barbosa - 265 - Ahú Los Angeles / 289-Mad.Jd.Graziela,102037,-25.43503105595,-49.27314034205
Estrada Ângelo Pianaro. 1740 - Butiatuvinha,190765,-25.400881236607,-49.362581987312
Estrada Delegado Bruno de Almeida. 58 - Campo de Santana,170544,-25.569573963566,-49.315218000469
Terminal Portão - 615 - Uberlândia,105805,-25.4762902214,-49.292300398777
Rua Jovenilson Américo de Oliveira. 116 - Tatuquara,170629,-25.557623060261,-49.332020015663
Rua Pastor Antônio Pólito. 1660 - Boqueirão,150145,-25.525317261236,-49.237477813492
Rua João Budel. 743 - Butiatuvinha,190092,-25.390144874314,-49.360668690151
Rua Doutor Luís Losso Filho. 876 - Novo Mundo,170890,-25.492401863816,-49.311191921635
